,pickup_neighborhood
0,Borough Park
1,Bronx Park and Fordham
2,Bushwick and Williamsburg
3,Canarsie and Flatlands
4,Central Bronx
5,Central Brooklyn
6,Central Harlem
7,Central Queens
8,Chelsea and Clinton
9,East Harlem
10,East New York and New Lots
11,Flatbush
12,Gramercy Park and Murray Hill
13,Greenpoint
14,Greenwich Village and Soho
15,High Bridge and Morrisania
16,Hunts Point and Mott Haven
17,Inwood and Washington Heights
18,Jamaica
19,Kingsbridge and Riverdale
20,Lower East Side
21,Lower Manhattan
22,North Queens
23,Northeast Bronx
24,Northeast Queens
25,Northwest Brooklyn
26,Northwest Queens
27,Port Richmond
28,Rockaways
29,Southeast Bronx
30,Southeast Queens
31,Southern Brooklyn
32,Southwest Brooklyn
33,Southwest Queens
34,Stapleton and St. George
35,Sunset Park
36,Upper East Side
37,Upper West Side
38,West Central Queens
39,West Queens
